|==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  42.490901   |   6.762637   |   6.762637   |  -0.000000   |   0.147871   |
|      1       |   0.000000   |  42.490901   |   6.762637   |   6.762637   |  -0.000000   |   0.147871   |
|      2       |   0.000000   |  99.345883   |  15.811388   |  15.811388   |  -0.000000   |   0.063246   |
|      3       |   0.000000   |  249.513736  |  39.711344   |  39.711344   |  -0.000000   |   0.025182   |
|      4       |   0.000000   |  249.513736  |  39.711344   |  39.711344   |  -0.000000   |   0.025182   |
|      5       |   0.000000   |  298.037688  |  47.434171   |  47.434171   |  -0.000000   |   0.021082   |
|      6       |   0.000000   |  496.729925  |  79.057023   |  79.057023   |  -0.000000   |   0.012649   |
|      7       |   0.000000   |  640.899653  |  102.002348  |  102.002348  |  -0.000000   |   0.009804   |
|      8       |  -0.000000   |  640.899653  |  102.002348  |  102.002348  |   0.000000   |   0.009804   |
|      9       |   0.000000   |  688.288466  |  109.544512  |  109.544512  |  -0.000000   |   0.009129   |
|==============|==============|==============|==============|==============|==============|==============||==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  42.455783   |   6.757048   |   6.757048   |  -0.000000   |   0.147994   |
|      1       |   0.000000   |  42.483479   |   6.761456   |   6.761456   |  -0.000000   |   0.147897   |
|      2       |   0.000000   |  99.346649   |  15.811510   |  15.811510   |  -0.000000   |   0.063245   |
|      3       |   0.000000   |  249.365491  |  39.687751   |  39.687751   |  -0.000000   |   0.025197   |
|      4       |   0.000000   |  249.483074  |  39.706464   |  39.706464   |  -0.000000   |   0.025185   |
|      5       |   0.000000   |  298.040324  |  47.434591   |  47.434591   |  -0.000000   |   0.021082   |
|      6       |   0.000000   |  496.727669  |  79.056664   |  79.056664   |  -0.000000   |   0.012649   |
|      7       |   0.000000   |  639.018098  |  101.702889  |  101.702889  |  -0.000000   |   0.009833   |
|      8       |   0.000000   |  640.872181  |  101.997976  |  101.997976  |  -0.000000   |   0.009804   |
|      9       |   0.000000   |  690.616164  |  109.914976  |  109.914976  |  -0.000000   |   0.009098   |
|==============|==============|==============|==============|==============|==============|==============||==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  42.350313   |   6.740262   |   6.740262   |  -0.000000   |   0.148362   |
|      1       |   0.000000   |  42.461193   |   6.757909   |   6.757909   |  -0.000000   |   0.147975   |
|      2       |   0.000000   |  99.348943   |  15.811875   |  15.811875   |  -0.000000   |   0.063244   |
|      3       |   0.000000   |  248.922860  |  39.617304   |  39.617304   |  -0.000000   |   0.025241   |
|      4       |   0.000000   |  249.391177  |  39.691839   |  39.691839   |  -0.000000   |   0.025194   |
|      5       |   0.000000   |  298.048208  |  47.435846   |  47.435846   |  -0.000000   |   0.021081   |
|      6       |   0.000000   |  496.720904  |  79.055587   |  79.055587   |  -0.000000   |   0.012649   |
|      7       |   0.000000   |  634.217769  |  100.938893  |  100.938893  |  -0.000000   |   0.009907   |
|      8       |   0.000000   |  640.789853  |  101.984873  |  101.984873  |  -0.000000   |   0.009805   |
|      9       |   0.000000   |  695.422361  |  110.679906  |  110.679906  |  -0.000000   |   0.009035   |
|==============|==============|==============|==============|==============|==============|==============||==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  42.174143   |   6.712223   |   6.712223   |  -0.000000   |   0.148982   |
|      1       |   0.000000   |  42.423984   |   6.751987   |   6.751987   |  -0.000000   |   0.148105   |
|      2       |   0.000000   |  99.352748   |  15.812481   |  15.812481   |  -0.000000   |   0.063241   |
|      3       |   0.000000   |  248.192080  |  39.500996   |  39.500996   |  -0.000000   |   0.025316   |
|      4       |   0.000000   |  249.238318  |  39.667510   |  39.667510   |  -0.000000   |   0.025210   |
|      5       |   0.000000   |  298.061265  |  47.437924   |  47.437924   |  -0.000000   |   0.021080   |
|      6       |   0.000000   |  496.709632  |  79.053793   |  79.053793   |  -0.000000   |   0.012650   |
|      7       |   0.000000   |  627.910862  |  99.935118   |  99.935118   |  -0.000000   |   0.010006   |
|      8       |   0.000000   |  640.652933  |  101.963081  |  101.963081  |  -0.000000   |   0.009807   |
|      9       |   0.000000   |  695.420400  |  110.679594  |  110.679594  |  -0.000000   |   0.009035   |
