#tstep, mx_steady_G, my_steady_G, mz_steady_G, mx_unsteady_G, my_unsteady_G, mz_unsteady_G, mx_steady_a, my_steady_a, mz_steady_a, mx_unsteady_a, my_unsteady_a, mz_unsteady_a
10, 3.884928e-03, -1.689689e+01, -7.340522e-04, 5.961237e-05, 2.584917e-02, -2.194409e-05, 3.953374e-03, -1.689689e+01, -4.828966e-05, 6.251727e-05, 2.584917e-02, -1.125913e-05
11, 3.864471e-03, -1.716939e+01, -7.202803e-04, 9.134732e-05, 6.035868e-03, -2.959248e-05, 3.930836e-03, -1.716939e+01, -3.827924e-05, 9.509823e-05, 6.035868e-03, -1.328061e-05
12, 3.849943e-03, -1.745497e+01, -7.075842e-04, 1.208381e-04, -1.632370e-02, -3.674657e-05, 3.914325e-03, -1.745497e+01, -2.829879e-05, 1.253833e-04, -1.632370e-02, -1.520498e-05
13, 3.843146e-03, -1.775013e+01, -6.971276e-04, 1.512064e-04, -4.002426e-02, -4.409969e-05, 3.905815e-03, -1.775013e+01, -1.918134e-05, 1.565671e-04, -4.002426e-02, -1.717300e-05
14, 3.845384e-03, -1.805378e+01, -6.878506e-04, 1.807274e-04, -6.494567e-02, -5.118621e-05, 3.906408e-03, -1.805378e+01, -9.656751e-06, 1.868702e-04, -6.494567e-02, -1.902559e-05
15, 3.854762e-03, -1.836616e+01, -6.793761e-04, 1.998121e-04, -9.008071e-02, -5.622583e-05, 3.914172e-03, -1.836616e+01, 3.175537e-07, 2.065400e-04, -9.008071e-02, -2.067463e-05
16, 3.872350e-03, -1.868859e+01, -6.722031e-04, 2.189373e-04, -1.153103e-01, -6.121624e-05, 3.930247e-03, -1.868859e+01, 1.043560e-05, 2.262412e-04, -1.153103e-01, -2.226817e-05
17, 3.897706e-03, -1.902072e+01, -6.650870e-04, 2.292206e-04, -1.405954e-01, -6.439319e-05, 3.953983e-03, -1.902072e+01, 2.184672e-05, 2.369199e-04, -1.405954e-01, -2.361118e-05
18, 3.927378e-03, -1.936323e+01, -6.591958e-04, 2.323964e-04, -1.652810e-01, -6.619715e-05, 3.982181e-03, -1.936323e+01, 3.280089e-05, 2.403607e-04, -1.652810e-01, -2.483627e-05
19, 3.960708e-03, -1.971680e+01, -6.514252e-04, 2.356175e-04, -1.895227e-01, -6.782936e-05, 4.013654e-03, -1.971680e+01, 4.624102e-05, 2.438164e-04, -1.895227e-01, -2.588433e-05
20, 3.995144e-03, -2.008396e+01, -6.426807e-04, 2.276590e-04, -2.124952e-01, -6.730532e-05, 4.046049e-03, -2.008396e+01, 6.083256e-05, 2.358878e-04, -2.124952e-01, -2.675023e-05
21, 4.028018e-03, -2.046675e+01, -6.332239e-04, 2.218915e-04, -2.348562e-01, -6.710047e-05, 4.076782e-03, -2.046675e+01, 7.585416e-05, 2.301723e-04, -2.348562e-01, -2.755002e-05
22, 4.060204e-03, -2.086598e+01, -6.223230e-04, 2.177244e-04, -2.562170e-01, -6.713783e-05, 4.106585e-03, -2.086598e+01, 9.217842e-05, 2.260751e-04, -2.562170e-01, -2.831040e-05
23, 4.088378e-03, -2.128357e+01, -6.110754e-04, 2.115107e-04, -2.765071e-01, -6.677680e-05, 4.132379e-03, -2.128357e+01, 1.081476e-04, 2.198930e-04, -2.765071e-01, -2.903387e-05
24, 4.112338e-03, -2.172146e+01, -5.982186e-04, 2.132913e-04, -2.959042e-01, -6.782924e-05, 4.153741e-03, -2.172146e+01, 1.249696e-04, 2.218294e-04, -2.959042e-01, -2.976111e-05
25, 4.133936e-03, -2.218202e+01, -5.854057e-04, 2.177108e-04, -3.138868e-01, -6.944155e-05, 4.172787e-03, -2.218202e+01, 1.413384e-04, 2.264617e-04, -3.138868e-01, -3.058149e-05
26, 4.152648e-03, -2.266675e+01, -5.733000e-04, 2.272933e-04, -3.310458e-01, -7.199777e-05, 4.189113e-03, -2.266675e+01, 1.565095e-04, 2.363425e-04, -3.310458e-01, -3.143489e-05
27, 4.171445e-03, -2.317681e+01, -5.627134e-04, 2.449500e-04, -3.470045e-01, -7.612045e-05, 4.205785e-03, -2.317681e+01, 1.701992e-04, 2.544468e-04, -3.470045e-01, -3.242889e-05
28, 4.191592e-03, -2.371317e+01, -5.533515e-04, 2.652580e-04, -3.616391e-01, -8.074025e-05, 4.224001e-03, -2.371317e+01, 1.829174e-04, 2.752485e-04, -3.616391e-01, -3.345206e-05
29, 4.214440e-03, -2.427749e+01, -5.462580e-04, 2.866897e-04, -3.750347e-01, -8.556770e-05, 4.245270e-03, -2.427749e+01, 1.938707e-04, 2.971929e-04, -3.750347e-01, -3.448459e-05
30, 4.238071e-03, -2.487064e+01, -5.315703e-04, 3.058748e-04, -3.868236e-01, -8.968374e-05, 4.265992e-03, -2.487064e+01, 2.124387e-04, 3.168013e-04, -3.868236e-01, -3.520663e-05
31, 4.270764e-03, -2.549271e+01, -5.198213e-04, 3.107587e-04, -3.972727e-01, -9.117040e-05, 4.296148e-03, -2.549271e+01, 2.296864e-04, 3.218691e-04, -3.972727e-01, -3.582264e-05
32, 4.324457e-03, -2.614421e+01, -5.277264e-04, 3.322202e-04, -4.059737e-01, -9.617890e-05, 4.350398e-03, -2.614421e+01, 2.312251e-04, 3.438743e-04, -4.059737e-01, -3.702829e-05
33, 4.385136e-03, -2.682480e+01, -5.386458e-04, 3.615634e-04, -4.130509e-01, -1.024299e-04, 4.412051e-03, -2.682480e+01, 2.310083e-04, 3.738572e-04, -4.130509e-01, -3.808890e-05
34, 4.439817e-03, -2.753497e+01, -5.367016e-04, 3.584609e-04, -4.181096e-01, -1.020227e-04, 4.465563e-03, -2.753497e+01, 2.424181e-04, 3.707311e-04, -4.181096e-01, -3.822670e-05
35, 4.493263e-03, -2.827441e+01, -5.279269e-04, 3.394538e-04, -4.215314e-01, -9.843011e-05, 4.516674e-03, -2.827441e+01, 2.603405e-04, 3.513889e-04, -4.215314e-01, -3.798920e-05
36, 4.558560e-03, -2.904217e+01, -5.313580e-04, 3.267314e-04, -4.229242e-01, -9.640521e-05, 4.581574e-03, -2.904217e+01, 2.683000e-04, 3.385082e-04, -4.229242e-01, -3.820429e-05
37, 4.634772e-03, -2.983790e+01, -5.447952e-04, 3.268892e-04, -4.224876e-01, -9.676089e-05, 4.658962e-03, -2.983790e+01, 2.683011e-04, 3.387253e-04, -4.224876e-01, -3.852716e-05
38, 4.705774e-03, -3.066068e+01, -5.546128e-04, 3.179053e-04, -4.202226e-01, -9.502069e-05, 4.730590e-03, -3.066068e+01, 2.709620e-04, 3.295757e-04, -4.202226e-01, -3.837344e-05
39, 4.768216e-03, -3.150967e+01, -5.539729e-04, 2.910207e-04, -4.159282e-01, -8.953917e-05, 4.791973e-03, -3.150967e+01, 2.824351e-04, 3.021478e-04, -4.159282e-01, -3.764366e-05
40, 4.828681e-03, -3.238371e+01, -5.544240e-04, 2.606355e-04, -4.101338e-01, -8.342261e-05, 4.851597e-03, -3.238371e+01, 2.924905e-04, 2.711620e-04, -4.101338e-01, -3.689636e-05
41, 4.892077e-03, -3.328062e+01, -5.648355e-04, 2.455857e-04, -4.024957e-01, -8.035740e-05, 4.915838e-03, -3.328062e+01, 2.932458e-04, 2.558087e-04, -4.024957e-01, -3.649108e-05
42, 4.955289e-03, -3.419972e+01, -5.781052e-04, 2.386947e-04, -3.932098e-01, -7.868843e-05, 4.980394e-03, -3.419972e+01, 2.911544e-04, 2.487325e-04, -3.932098e-01, -3.604408e-05
43, 5.008564e-03, -3.513878e+01, -5.875799e-04, 2.248899e-04, -3.823383e-01, -7.540477e-05, 5.034505e-03, -3.513878e+01, 2.910748e-04, 2.345672e-04, -3.823383e-01, -3.520748e-05
44, 5.054880e-03, -3.609565e+01, -5.918549e-04, 2.079870e-04, -3.700499e-01, -7.134570e-05, 5.080860e-03, -3.609565e+01, 2.949074e-04, 2.172162e-04, -3.700499e-01, -3.414524e-05
45, 5.102285e-03, -3.706818e+01, -6.024893e-04, 1.958056e-04, -3.562409e-01, -6.834325e-05, 5.129391e-03, -3.706818e+01, 2.926663e-04, 2.046985e-04, -3.562409e-01, -3.330368e-05
46, 5.152526e-03, -3.805370e+01, -6.206864e-04, 1.971744e-04, -3.411422e-01, -6.786703e-05, 5.182028e-03, -3.805370e+01, 2.834699e-04, 2.059638e-04, -3.411422e-01, -3.259701e-05
47, 5.202059e-03, -3.904952e+01, -6.397160e-04, 1.985527e-04, -3.246498e-01, -6.724406e-05, 5.234113e-03, -3.904952e+01, 2.733307e-04, 2.072130e-04, -3.246498e-01, -3.174416e-05
48, 5.248927e-03, -4.005346e+01, -6.572894e-04, 1.932701e-04, -3.067810e-01, -6.515187e-05, 5.283321e-03, -4.005346e+01, 2.641628e-04, 2.016474e-04, -3.067810e-01, -3.060107e-05
49, 5.297124e-03, -4.106295e+01, -6.751383e-04, 1.839501e-04, -2.876920e-01, -6.219405e-05, 5.333885e-03, -4.106295e+01, 2.549545e-04, 1.919553e-04, -2.876920e-01, -2.930660e-05
50, 5.350819e-03, -4.207442e+01, -7.004646e-04, 1.765197e-04, -2.674271e-01, -5.969993e-05, 5.391162e-03, -4.207442e+01, 2.393369e-04, 1.842048e-04, -2.674271e-01, -2.814063e-05
51, 5.410566e-03, -4.308587e+01, -7.304450e-04, 1.714738e-04, -2.460019e-01, -5.749764e-05, 5.455208e-03, -4.308587e+01, 2.201870e-04, 1.788531e-04, -2.460019e-01, -2.684802e-05
52, 5.469817e-03, -4.409454e+01, -7.605947e-04, 1.552273e-04, -2.233784e-01, -5.300575e-05, 5.518794e-03, -4.409454e+01, 2.007843e-04, 1.620734e-04, -2.233784e-01, -2.524554e-05
53, 5.528906e-03, -4.509904e+01, -7.878806e-04, 1.329812e-04, -1.995908e-01, -4.719570e-05, 5.581723e-03, -4.509904e+01, 1.841735e-04, 1.391564e-04, -1.995908e-01, -2.338674e-05
54, 5.591948e-03, -4.609511e+01, -8.198545e-04, 1.010883e-04, -1.752263e-01, -3.951960e-05, 5.649360e-03, -4.609511e+01, 1.636325e-04, 1.064151e-04, -1.752263e-01, -2.136540e-05
55, 5.656479e-03, -4.708273e+01, -8.596500e-04, 7.583762e-05, -1.495508e-01, -3.319678e-05, 5.719821e-03, -4.708273e+01, 1.356472e-04, 8.045004e-05, -1.495508e-01, -1.952338e-05
56, 5.716811e-03, -4.805920e+01, -8.966466e-04, 4.838080e-05, -1.233463e-01, -2.619291e-05, 5.785661e-03, -4.805920e+01, 1.096893e-04, 5.219414e-05, -1.233463e-01, -1.739375e-05
57, 5.769822e-03, -4.902211e+01, -9.294521e-04, 6.201602e-06, -9.655066e-02, -1.618032e-05, 5.843563e-03, -4.902211e+01, 8.658747e-05, 8.917068e-06, -9.655066e-02, -1.485760e-05
58, 5.816900e-03, -4.997011e+01, -9.627554e-04, -3.529092e-05, -6.926365e-02, -6.310097e-06, 5.895709e-03, -4.997011e+01, 6.196498e-05, -3.365903e-05, -6.926365e-02, -1.234244e-05
59, 5.863201e-03, -5.090144e+01, -1.001580e-03, -6.798177e-05, -4.160164e-02, 1.757632e-06, 5.948048e-03, -5.090144e+01, 3.177028e-05, -6.725418e-05, -4.160164e-02, -1.007398e-05
60, 5.902791e-03, -5.181436e+01, -1.041675e-03, -9.813739e-05, -1.377634e-02, 9.503006e-06, 5.994000e-03, -5.181436e+01, -8.411500e-07, -9.829665e-05, -1.377634e-02, -7.682745e-06
61, 5.930652e-03, -5.270732e+01, -1.077402e-03, -1.288491e-04, 1.412360e-02, 1.747190e-05, 6.027641e-03, -5.270732e+01, -3.118700e-05, -1.299255e-04, 1.412360e-02, -5.167943e-06
62, 5.950081e-03, -5.357918e+01, -1.110404e-03, -1.592331e-04, 4.205136e-02, 2.537799e-05, 6.052505e-03, -5.357918e+01, -6.031341e-05, -1.612208e-04, 4.205136e-02, -2.658085e-06
63, 5.963280e-03, -5.442796e+01, -1.145331e-03, -1.847930e-04, 6.962686e-02, 3.232822e-05, 6.071569e-03, -5.442796e+01, -9.241862e-05, -1.875993e-04, 6.962686e-02, -2.518838e-07
64, 5.972101e-03, -5.525368e+01, -1.183420e-03, -1.980614e-04, 9.723327e-02, 3.680248e-05, 6.086871e-03, -5.525368e+01, -1.283968e-04, -2.014431e-04, 9.723327e-02, 1.850359e-06
65, 5.975009e-03, -5.605439e+01, -1.219873e-03, -2.082608e-04, 1.242583e-01, 4.078010e-05, 6.096064e-03, -5.605439e+01, -1.637912e-04, -2.121782e-04, 1.242583e-01, 3.996456e-06
66, 5.970834e-03, -5.682979e+01, -1.254257e-03, -2.205994e-04, 1.509808e-01, 4.515550e-05, 6.097923e-03, -5.682979e+01, -1.983772e-04, -2.250891e-04, 1.509808e-01, 6.162812e-06
67, 5.962923e-03, -5.757904e+01, -1.287001e-03, -2.276830e-04, 1.771246e-01, 4.847099e-05, 6.095818e-03, -5.757904e+01, -2.319977e-04, -2.326409e-04, 1.771246e-01, 8.197871e-06
68, 5.955597e-03, -5.830169e+01, -1.323112e-03, -2.327421e-04, 2.026913e-01, 5.120962e-05, 6.094874e-03, -5.830169e+01, -2.688327e-04, -2.380987e-04, 2.026913e-01, 1.001639e-05
69, 5.947703e-03, -5.899729e+01, -1.359616e-03, -2.333515e-04, 2.275920e-01, 5.313785e-05, 6.093439e-03, -5.899729e+01, -3.061532e-04, -2.390336e-04, 2.275920e-01, 1.180951e-05
70, 5.938086e-03, -5.966559e+01, -1.394812e-03, -2.356746e-04, 2.517088e-01, 5.527276e-05, 6.090080e-03, -5.966559e+01, -3.424843e-04, -2.416922e-04, 2.517088e-01, 1.350858e-05
71, 5.928370e-03, -6.030668e+01, -1.427817e-03, -2.425690e-04, 2.750995e-01, 5.827160e-05, 6.086243e-03, -6.030668e+01, -3.766750e-04, -2.490025e-04, 2.750995e-01, 1.526467e-05
72, 5.918451e-03, -6.092053e+01, -1.460485e-03, -2.506231e-04, 2.974527e-01, 6.136248e-05, 6.082147e-03, -6.092053e+01, -4.105690e-04, -2.574711e-04, 2.974527e-01, 1.690999e-05
73, 5.910302e-03, -6.150716e+01, -1.494646e-03, -2.570173e-04, 3.189412e-01, 6.395203e-05, 6.080053e-03, -6.150716e+01, -4.456261e-04, -2.642178e-04, 3.189412e-01, 1.834987e-05
74, 5.901851e-03, -6.206662e+01, -1.526098e-03, -2.665120e-04, 3.392052e-01, 6.715143e-05, 6.077192e-03, -6.206662e+01, -4.780676e-04, -2.741238e-04, 3.392052e-01, 1.985193e-05
75, 5.884988e-03, -6.259921e+01, -1.546763e-03, -2.855386e-04, 3.584172e-01, 7.224117e-05, 6.064174e-03, -6.259921e+01, -5.013466e-04, -2.937452e-04, 3.584172e-01, 2.156041e-05
76, 5.868490e-03, -6.310485e+01, -1.564318e-03, -3.114922e-04, 3.762670e-01, 7.841117e-05, 6.050976e-03, -6.310485e+01, -5.215004e-04, -3.203759e-04, 3.762670e-01, 2.312988e-05
77, 5.863825e-03, -6.358393e+01, -1.603507e-03, -3.181764e-04, 3.928213e-01, 8.015694e-05, 6.053186e-03, -6.358393e+01, -5.609041e-04, -3.272617e-04, 3.928213e-01, 2.368842e-05
78, 5.852319e-03, -6.403618e+01, -1.639441e-03, -3.054961e-04, 4.079003e-01, 7.857948e-05, 6.048095e-03, -6.403618e+01, -5.982897e-04, -3.145001e-04, 4.079003e-01, 2.433684e-05
79, 5.817682e-03, -6.446173e+01, -1.651806e-03, -3.231232e-04, 4.214530e-01, 8.300202e-05, 6.016131e-03, -6.446173e+01, -6.164817e-04, -3.326274e-04, 4.214530e-01, 2.563128e-05
80, 5.770436e-03, -6.486071e+01, -1.652111e-03, -3.491599e-04, 4.335100e-01, 8.877679e-05, 5.969657e-03, -6.486071e+01, -6.249861e-04, -3.592713e-04, 4.335100e-01, 2.679709e-05
81, 5.728731e-03, -6.523283e+01, -1.663406e-03, -3.529204e-04, 4.437846e-01, 8.971158e-05, 5.930546e-03, -6.523283e+01, -6.433514e-04, -3.631370e-04, 4.437846e-01, 2.706468e-05
82, 5.690779e-03, -6.557831e+01, -1.685060e-03, -3.302729e-04, 4.525842e-01, 8.543424e-05, 5.896931e-03, -6.557831e+01, -6.712664e-04, -3.400908e-04, 4.525842e-01, 2.678502e-05
83, 5.642928e-03, -6.589684e+01, -1.695695e-03, -3.101610e-04, 4.594359e-01, 8.194847e-05, 5.851654e-03, -6.589684e+01, -6.900494e-04, -3.196791e-04, 4.594359e-01, 2.684460e-05
84, 5.581177e-03, -6.618853e+01, -1.690113e-03, -3.070796e-04, 4.647896e-01, 8.167145e-05, 5.789871e-03, -6.618853e+01, -6.952749e-04, -3.165964e-04, 4.647896e-01, 2.710687e-05
85, 5.520125e-03, -6.645335e+01, -1.683199e-03, -2.992968e-04, 4.682097e-01, 8.012333e-05, 5.728546e-03, -6.645335e+01, -6.990681e-04, -3.086631e-04, 4.682097e-01, 2.693374e-05
86, 5.468013e-03, -6.669134e+01, -1.685850e-03, -2.734426e-04, 4.700043e-01, 7.481434e-05, 5.677686e-03, -6.669134e+01, -7.107279e-04, -2.822797e-04, 4.700043e-01, 2.619494e-05
87, 5.420032e-03, -6.690253e+01, -1.691122e-03, -2.366022e-04, 4.699948e-01, 6.740436e-05, 5.631349e-03, -6.690253e+01, -7.242518e-04, -2.447123e-04, 4.699948e-01, 2.529479e-05
88, 5.367120e-03, -6.708697e+01, -1.684086e-03, -2.118596e-04, 4.682259e-01, 6.250692e-05, 5.578020e-03, -6.708697e+01, -7.265104e-04, -2.194952e-04, 4.682259e-01, 2.476826e-05
89, 5.313725e-03, -6.724497e+01, -1.670450e-03, -1.981987e-04, 4.648121e-01, 5.946948e-05, 5.523068e-03, -6.724497e+01, -7.223537e-04, -2.055144e-04, 4.648121e-01, 2.414916e-05
90, 5.267798e-03, -6.737645e+01, -1.659018e-03, -1.788809e-04, 4.595432e-01, 5.515529e-05, 5.475854e-03, -6.737645e+01, -7.190701e-04, -1.857409e-04, 4.595432e-01, 2.325502e-05
91, 5.232753e-03, -6.748187e+01, -1.655135e-03, -1.515980e-04, 4.527490e-01, 4.903124e-05, 5.440667e-03, -6.748187e+01, -7.213314e-04, -1.578090e-04, 4.527490e-01, 2.196163e-05
92, 5.199177e-03, -6.756121e+01, -1.646575e-03, -1.264146e-04, 4.440789e-01, 4.354682e-05, 5.406114e-03, -6.756121e+01, -7.187319e-04, -1.320559e-04, 4.440789e-01, 2.093359e-05
93, 5.164800e-03, -6.761479e+01, -1.630648e-03, -1.154121e-04, 4.339388e-01, 4.060334e-05, 5.369494e-03, -6.761479e+01, -7.090171e-04, -1.207094e-04, 4.339388e-01, 1.994538e-05
94, 5.132092e-03, -6.764293e+01, -1.610760e-03, -1.086457e-04, 4.220173e-01, 3.840850e-05, 5.333830e-03, -6.764293e+01, -6.951104e-04, -1.136647e-04, 4.220173e-01, 1.895887e-05
95, 5.106212e-03, -6.764578e+01, -1.595684e-03, -9.800573e-05, 4.085975e-01, 3.515246e-05, 5.305724e-03, -6.764578e+01, -6.847577e-04, -1.026210e-04, 4.085975e-01, 1.759990e-05
96, 5.083170e-03, -6.762379e+01, -1.581300e-03, -8.235434e-05, 3.935798e-01, 3.099738e-05, 5.280535e-03, -6.762379e+01, -6.745932e-04, -8.648583e-05, 3.935798e-01, 1.622578e-05
97, 5.057938e-03, -6.757722e+01, -1.561771e-03, -7.282760e-05, 3.770268e-01, 2.799102e-05, 5.252296e-03, -6.757722e+01, -6.597428e-04, -7.658177e-05, 3.770268e-01, 1.491939e-05
98, 5.031524e-03, -6.750708e+01, -1.542001e-03, -6.558997e-05, 3.591334e-01, 2.528791e-05, 5.222849e-03, -6.750708e+01, -6.448600e-04, -6.898471e-05, 3.591334e-01, 1.351415e-05
99, 5.003515e-03, -6.741244e+01, -1.518437e-03, -5.124149e-05, 3.381444e-01, 2.124350e-05, 5.191174e-03, -6.741244e+01, -6.265172e-04, -5.415192e-05, 3.381444e-01, 1.202277e-05
100, 4.970708e-03, -6.729148e+01, -1.486643e-03, -4.139202e-05, 3.115015e-01, 1.824513e-05, 5.153344e-03, -6.729148e+01, -6.009036e-04, -4.393141e-05, 3.115015e-01, 1.078030e-05
101, 4.940668e-03, -6.713835e+01, -1.454810e-03, -2.653404e-05, 2.777683e-01, 1.425009e-05, 5.118234e-03, -6.713835e+01, -5.747705e-04, -2.860543e-05, 2.777683e-01, 9.426010e-06
102, 4.916394e-03, -6.694351e+01, -1.426550e-03, 1.286488e-06, 2.399628e-01, 7.945840e-06, 5.089421e-03, -6.694351e+01, -5.511548e-04, -1.128374e-07, 2.399628e-01, 8.048521e-06
103, 4.897315e-03, -6.668869e+01, -1.399395e-03, 3.631749e-05, 2.012064e-01, 5.777700e-07, 5.065917e-03, -6.668869e+01, -5.277252e-04, 3.566542e-05, 2.012064e-01, 6.875459e-06
104, 4.879583e-03, -6.636064e+01, -1.368238e-03, 6.579456e-05, 1.641580e-01, -5.290892e-06, 5.043044e-03, -6.636064e+01, -5.001211e-04, 6.571375e-05, 1.641580e-01, 6.214594e-06
105, 4.868441e-03, -6.595787e+01, -1.339174e-03, 8.527801e-05, 1.301072e-01, -9.119113e-06, 5.027024e-03, -6.595787e+01, -4.734331e-04, 8.556596e-05, 1.301072e-01, 5.827798e-06
106, 4.867883e-03, -6.548363e+01, -1.316846e-03, 1.011235e-04, 1.006607e-01, -1.200635e-05, 5.022597e-03, -6.548363e+01, -4.515414e-04, 1.016721e-04, 1.006607e-01, 5.735964e-06
107, 4.879659e-03, -6.494719e+01, -1.304018e-03, 1.127433e-04, 7.701110e-02, -1.402477e-05, 5.031967e-03, -6.494719e+01, -4.368635e-04, 1.134659e-04, 7.701110e-02, 5.765969e-06
108, 4.896707e-03, -6.435878e+01, -1.290178e-03, 1.146037e-04, 5.811447e-02, -1.378593e-05, 5.046353e-03, -6.435878e+01, -4.202732e-04, 1.152565e-04, 5.811447e-02, 6.324231e-06
109, 4.917797e-03, -6.373094e+01, -1.279330e-03, 1.017590e-04, 4.347459e-02, -1.085179e-05, 5.065238e-03, -6.373094e+01, -4.059276e-04, 1.020974e-04, 4.347459e-02, 6.983331e-06
110, 4.944020e-03, -6.307189e+01, -1.274296e-03, 8.850786e-05, 3.161859e-02, -7.854829e-06, 5.090188e-03, -6.307189e+01, -3.964167e-04, 8.852721e-05, 3.161859e-02, 7.633732e-06
111, 4.969826e-03, -6.238785e+01, -1.268805e-03, 7.347950e-05, 2.227896e-02, -4.481756e-06, 5.114648e-03, -6.238785e+01, -3.865275e-04, 7.314143e-05, 2.227896e-02, 8.345913e-06
112, 4.991402e-03, -6.168455e+01, -1.261479e-03, 4.635094e-05, 1.495624e-02, 1.178894e-06, 5.134625e-03, -6.168455e+01, -3.755668e-04, 4.544205e-05, 1.495624e-02, 9.209740e-06
113, 5.008517e-03, -6.096839e+01, -1.251777e-03, 1.847268e-05, 9.428999e-03, 6.905620e-06, 5.149796e-03, -6.096839e+01, -3.630398e-04, 1.699289e-05, 9.428999e-03, 1.000846e-05
114, 5.021984e-03, -6.024586e+01, -1.245061e-03, -9.011882e-06, 5.419241e-03, 1.234938e-05, 5.161891e-03, -6.024586e+01, -3.540870e-04, -1.101942e-05, 5.419241e-03, 1.059687e-05
115, 5.027862e-03, -5.951962e+01, -1.236328e-03, -2.936780e-05, 2.003443e-03, 1.650636e-05, 5.166163e-03, -5.951962e+01, -3.444667e-04, -3.178793e-05, 2.003443e-03, 1.115593e-05
116, 5.024425e-03, -5.879228e+01, -1.225693e-03, -5.156312e-05, -6.098485e-04, 2.084562e-05, 5.160932e-03, -5.879228e+01, -3.345899e-04, -5.439957e-05, -6.098485e-04, 1.157509e-05
117, 5.010437e-03, -5.806656e+01, -1.210399e-03, -6.669988e-05, -2.935679e-03, 2.389242e-05, 5.144500e-03, -5.806656e+01, -3.219571e-04, -6.983543e-05, -2.935679e-03, 1.194713e-05
118, 4.988169e-03, -5.734580e+01, -1.193375e-03, -7.813137e-05, -4.660147e-03, 2.604076e-05, 5.119615e-03, -5.734580e+01, -3.090590e-04, -8.146631e-05, -4.660147e-03, 1.207778e-05
119, 4.962220e-03, -5.663201e+01, -1.179722e-03, -7.867180e-05, -6.427811e-03, 2.602198e-05, 5.091689e-03, -5.663201e+01, -3.001193e-04, -8.199527e-05, -6.427811e-03, 1.196544e-05
120, 4.932642e-03, -5.592622e+01, -1.168180e-03, -6.639537e-05, -8.026442e-03, 2.351255e-05, 5.060557e-03, -5.592622e+01, -2.938880e-04, -6.946958e-05, -8.026442e-03, 1.162590e-05
121, 4.898192e-03, -5.522938e+01, -1.154046e-03, -5.053426e-05, -9.580357e-03, 2.037373e-05, 5.024176e-03, -5.522938e+01, -2.859513e-04, -5.330439e-05, -9.580357e-03, 1.128903e-05
122, 4.862936e-03, -5.454311e+01, -1.140461e-03, -3.350132e-05, -1.094752e-02, 1.692539e-05, 4.987096e-03, -5.454311e+01, -2.786952e-04, -3.593142e-05, -1.094752e-02, 1.085081e-05
123, 4.830305e-03, -5.386894e+01, -1.127739e-03, -1.136298e-05, -1.203217e-02, 1.249515e-05, 4.952752e-03, -5.386894e+01, -2.718326e-04, -1.336011e-05, -1.203217e-02, 1.033216e-05
124, 4.803693e-03, -5.320723e+01, -1.118610e-03, 1.075839e-05, -1.314716e-02, 8.032087e-06, 4.924959e-03, -5.320723e+01, -2.674633e-04, 9.200190e-06, -1.314716e-02, 9.778236e-06
