#tstep, mx_steady_G, my_steady_G, mz_steady_G, mx_unsteady_G, my_unsteady_G, mz_unsteady_G, mx_steady_a, my_steady_a, mz_steady_a, mx_unsteady_a, my_unsteady_a, mz_unsteady_a
0, 4.053494e-03, -1.546490e+01, -7.936313e-04, 0.000000e+00, 0.000000e+00, 0.000000e+00, 4.129725e-03, -1.546490e+01, -7.769253e-05, 0.000000e+00, 0.000000e+00, 0.000000e+00
1, 4.051381e-03, -1.548237e+01, -7.988281e-04, -1.119273e-05, 3.074023e-02, 1.642044e-06, 4.128546e-03, -1.548237e+01, -8.317730e-05, -1.130783e-05, 3.074023e-02, -3.265000e-07
2, 4.046284e-03, -1.551396e+01, -7.986727e-04, -1.457781e-05, 3.754070e-02, 2.178100e-06, 4.123500e-03, -1.551396e+01, -8.390933e-05, -1.473457e-05, 3.754070e-02, -3.864008e-07
3, 4.039990e-03, -1.557568e+01, -7.993345e-04, -2.885174e-05, 5.377743e-02, 4.207182e-06, 4.117417e-03, -1.557568e+01, -8.565393e-05, -2.914399e-05, 5.377743e-02, -8.667872e-07
4, 4.029968e-03, -1.567429e+01, -8.002940e-04, -3.325063e-05, 6.706647e-02, 4.165427e-06, 4.107713e-03, -1.567429e+01, -8.833917e-05, -3.346879e-05, 6.706647e-02, -1.671766e-06
5, 4.015010e-03, -1.580773e+01, -7.960357e-04, -3.086088e-05, 7.445780e-02, 2.656838e-06, 4.092243e-03, -1.580773e+01, -8.674301e-05, -3.085339e-05, 7.445780e-02, -2.742461e-06
6, 3.993158e-03, -1.597604e+01, -7.870740e-04, -2.638992e-05, 7.546043e-02, 6.080090e-07, 4.069167e-03, -1.597604e+01, -8.171202e-05, -2.609457e-05, 7.546043e-02, -3.983789e-06
7, 3.965465e-03, -1.617478e+01, -7.752106e-04, -1.570091e-05, 6.985760e-02, -2.836575e-06, 4.039834e-03, -1.617478e+01, -7.483778e-05, -1.496981e-05, 6.985760e-02, -5.519915e-06
8, 3.937812e-03, -1.639774e+01, -7.618943e-04, 7.993474e-06, 5.877058e-02, -8.921167e-06, 4.010290e-03, -1.639774e+01, -6.652556e-05, 9.421179e-06, 5.877058e-02, -7.397583e-06
9, 3.910747e-03, -1.663942e+01, -7.487892e-04, 3.199762e-05, 4.402193e-02, -1.510037e-05, 3.981360e-03, -1.663942e+01, -5.831944e-05, 3.413365e-05, 4.402193e-02, -9.314636e-06
