#tstep, fx_steady_G, fy_steady_G, fz_steady_G, fx_unsteady_G, fy_unsteady_G, fz_unsteady_G, fx_steady_a, fy_steady_a, fz_steady_a, fx_unsteady_a, fy_unsteady_a, fz_unsteady_a
11, 1.961266e+00, -2.146003e-04, 3.949420e+02, 7.708467e-01, -3.944564e-06, 4.171080e+00, -6.664948e+01, -2.146003e-04, 3.892825e+02, 3.483539e-02, -3.944564e-06, 4.241568e+00
12, 1.493988e+00, -2.132828e-04, 3.959471e+02, 8.598762e-01, -5.057907e-06, 4.655340e+00, -6.728420e+01, -2.132828e-04, 3.901912e+02, 3.842147e-02, -5.057907e-06, 4.733931e+00
13, 9.995887e-01, -2.121299e-04, 3.970825e+02, 9.465870e-01, -6.157920e-06, 5.127800e+00, -6.796824e+01, -2.121299e-04, 3.912235e+02, 4.177308e-02, -6.157920e-06, 5.214270e+00
14, 4.806607e-01, -2.112479e-04, 3.983450e+02, 1.030286e+00, -7.327525e-06, 5.584237e+00, -6.869852e+01, -2.112479e-04, 3.923767e+02, 4.494155e-02, -7.327525e-06, 5.678307e+00
15, -6.189058e-02, -2.104832e-04, 3.997329e+02, 1.112259e+00, -8.054129e-06, 6.031650e+00, -6.947384e+01, -2.104832e-04, 3.936493e+02, 4.797599e-02, -8.054129e-06, 6.133158e+00
16, -6.263590e-01, -2.099524e-04, 4.012412e+02, 1.189980e+00, -8.837207e-06, 6.456047e+00, -7.029164e+01, -2.099524e-04, 3.950367e+02, 5.082062e-02, -8.837207e-06, 6.564603e+00
17, -1.210759e+00, -2.096266e-04, 4.028661e+02, 1.264261e+00, -9.310475e-06, 6.861713e+00, -7.114932e+01, -2.096266e-04, 3.965354e+02, 5.353044e-02, -9.310475e-06, 6.977004e+00
18, -1.813853e+00, -2.093706e-04, 4.046050e+02, 1.335184e+00, -9.476352e-06, 7.248926e+00, -7.204521e+01, -2.093706e-04, 3.981431e+02, 5.613722e-02, -9.476352e-06, 7.370651e+00
19, -2.433856e+00, -2.091825e-04, 4.064515e+02, 1.401188e+00, -9.723706e-06, 7.609178e+00, -7.297644e+01, -2.091825e-04, 3.998540e+02, 5.858126e-02, -9.723706e-06, 7.736891e+00
20, -3.071022e+00, -2.090023e-04, 4.084018e+02, 1.463619e+00, -9.472534e-06, 7.949795e+00, -7.394259e+01, -2.090023e-04, 4.016640e+02, 6.091620e-02, -9.472534e-06, 8.083175e+00
21, -3.724119e+00, -2.086851e-04, 4.104506e+02, 1.520982e+00, -9.347725e-06, 8.262682e+00, -7.494154e+01, -2.086851e-04, 4.035683e+02, 6.307559e-02, -9.347725e-06, 8.401269e+00
22, -4.392451e+00, -2.083038e-04, 4.125907e+02, 1.573070e+00, -9.254419e-06, 8.546707e+00, -7.597134e+01, -2.083038e-04, 4.055598e+02, 6.505189e-02, -9.254419e-06, 8.690024e+00
23, -5.075752e+00, -2.077772e-04, 4.148175e+02, 1.620846e+00, -9.037280e-06, 8.807181e+00, -7.703095e+01, -2.077772e-04, 4.076341e+02, 6.687043e-02, -9.037280e-06, 8.954837e+00
24, -5.772686e+00, -2.069795e-04, 4.171224e+02, 1.662500e+00, -9.183758e-06, 9.034256e+00, -7.811752e+01, -2.069795e-04, 4.097829e+02, 6.846037e-02, -9.183758e-06, 9.185695e+00
25, -6.483199e+00, -2.061225e-04, 4.194974e+02, 1.698865e+00, -9.342331e-06, 9.232560e+00, -7.922966e+01, -2.061225e-04, 4.119985e+02, 6.983812e-02, -9.342331e-06, 9.387301e+00
26, -7.205758e+00, -2.050973e-04, 4.219353e+02, 1.729988e+00, -9.742675e-06, 9.402370e+00, -8.036458e+01, -2.050973e-04, 4.142739e+02, 7.100163e-02, -9.742675e-06, 9.559936e+00
27, -7.938272e+00, -2.040091e-04, 4.244262e+02, 1.754764e+00, -1.043115e-05, 9.537496e+00, -8.151850e+01, -2.040091e-04, 4.165997e+02, 7.193686e-02, -1.043115e-05, 9.697311e+00
28, -8.679334e+00, -2.029834e-04, 4.269620e+02, 1.774706e+00, -1.120613e-05, 9.646238e+00, -8.268865e+01, -2.029834e-04, 4.189684e+02, 7.269282e-02, -1.120613e-05, 9.807865e+00
29, -9.426069e+00, -2.019811e-04, 4.295337e+02, 1.788975e+00, -1.207008e-05, 9.723814e+00, -8.387062e+01, -2.019811e-04, 4.213713e+02, 7.327433e-02, -1.207008e-05, 9.886740e+00
30, -1.017601e+01, -2.009281e-04, 4.321319e+02, 1.797591e+00, -1.288370e-05, 9.770294e+00, -8.506032e+01, -2.009281e-04, 4.237998e+02, 7.368790e-02, -1.288370e-05, 9.934010e+00
31, -1.092620e+01, -2.002064e-04, 4.347488e+02, 1.801813e+00, -1.317487e-05, 9.792434e+00, -8.625355e+01, -2.002064e-04, 4.262467e+02, 7.400148e-02, -1.317487e-05, 9.956547e+00
32, -1.167299e+01, -2.003041e-04, 4.373760e+02, 1.800415e+00, -1.407129e-05, 9.783315e+00, -8.744520e+01, -2.003041e-04, 4.287043e+02, 7.420771e-02, -1.407129e-05, 9.947323e+00
33, -1.241322e+01, -2.006227e-04, 4.400057e+02, 1.794461e+00, -1.516590e-05, 9.748814e+00, -8.863082e+01, -2.006227e-04, 4.311655e+02, 7.433542e-02, -1.516590e-05, 9.912313e+00
34, -1.314404e+01, -2.007511e-04, 4.426308e+02, 1.783986e+00, -1.510857e-05, 9.688973e+00, -8.980638e+01, -2.007511e-04, 4.336238e+02, 7.441090e-02, -1.510857e-05, 9.851562e+00
35, -1.386141e+01, -2.007774e-04, 4.452439e+02, 1.768041e+00, -1.458684e-05, 9.598661e+00, -9.096661e+01, -2.007774e-04, 4.360726e+02, 7.439057e-02, -1.458684e-05, 9.759853e+00
36, -1.456302e+01, -2.013457e-04, 4.478382e+02, 1.747931e+00, -1.414444e-05, 9.485092e+00, -9.210806e+01, -2.013457e-04, 4.385057e+02, 7.430757e-02, -1.414444e-05, 9.644517e+00
37, -1.524544e+01, -2.024399e-04, 4.504071e+02, 1.722495e+00, -1.418917e-05, 9.341900e+00, -9.322620e+01, -2.024399e-04, 4.409171e+02, 7.412264e-02, -1.418917e-05, 9.499084e+00
38, -1.590579e+01, -2.033172e-04, 4.529433e+02, 1.691840e+00, -1.387041e-05, 9.169904e+00, -9.431692e+01, -2.033172e-04, 4.433001e+02, 7.379970e-02, -1.387041e-05, 9.324378e+00
39, -1.654229e+01, -2.039641e-04, 4.554397e+02, 1.656315e+00, -1.287499e-05, 8.971114e+00, -9.537725e+01, -2.039641e-04, 4.456480e+02, 7.333444e-02, -1.287499e-05, 9.122439e+00
40, -1.715148e+01, -2.046294e-04, 4.578891e+02, 1.614907e+00, -1.179881e-05, 8.740090e+00, -9.640251e+01, -2.046294e-04, 4.479544e+02, 7.267267e-02, -1.179881e-05, 8.887735e+00
41, -1.773155e+01, -2.055148e-04, 4.602830e+02, 1.568038e+00, -1.123725e-05, 8.479442e+00, -9.738948e+01, -2.055148e-04, 4.502112e+02, 7.177682e-02, -1.123725e-05, 8.622907e+00
42, -1.828026e+01, -2.065439e-04, 4.626142e+02, 1.516248e+00, -1.092572e-05, 8.191792e+00, -9.833465e+01, -2.065439e-04, 4.524117e+02, 7.072264e-02, -1.092572e-05, 8.330634e+00
43, -1.879509e+01, -2.073047e-04, 4.648740e+02, 1.458514e+00, -1.044746e-05, 7.872011e+00, -9.923407e+01, -2.073047e-04, 4.545478e+02, 6.939579e-02, -1.044746e-05, 8.005685e+00
44, -1.927398e+01, -2.078627e-04, 4.670539e+02, 1.395944e+00, -9.847132e-06, 7.525969e+00, -1.000842e+02, -2.078627e-04, 4.566114e+02, 6.786543e-02, -9.847132e-06, 7.654035e+00
45, -1.971471e+01, -2.087038e-04, 4.691460e+02, 1.328482e+00, -9.398577e-06, 7.153324e+00, -1.008815e+02, -2.087038e-04, 4.585952e+02, 6.613797e-02, -9.398577e-06, 7.275338e+00
46, -2.011469e+01, -2.097859e-04, 4.711420e+02, 1.256309e+00, -9.538216e-06, 6.755005e+00, -1.016220e+02, -2.097859e-04, 4.604914e+02, 6.422862e-02, -9.538216e-06, 6.870537e+00
47, -2.047209e+01, -2.109965e-04, 4.730346e+02, 1.180562e+00, -9.576987e-06, 6.337083e+00, -1.023027e+02, -2.109965e-04, 4.622932e+02, 6.220411e-02, -9.576987e-06, 6.445811e+00
48, -2.078480e+01, -2.123164e-04, 4.748168e+02, 1.101021e+00, -9.461150e-06, 5.898221e+00, -1.029201e+02, -2.123164e-04, 4.639940e+02, 6.007836e-02, -9.461150e-06, 5.999804e+00
49, -2.105068e+01, -2.138101e-04, 4.764825e+02, 1.018787e+00, -9.211272e-06, 5.444236e+00, -1.034712e+02, -2.138101e-04, 4.655883e+02, 5.792758e-02, -9.211272e-06, 5.538437e+00
50, -2.126835e+01, -2.157702e-04, 4.780264e+02, 9.338604e-01, -8.930793e-06, 4.975369e+00, -1.039537e+02, -2.157702e-04, 4.670709e+02, 5.570932e-02, -8.930793e-06, 5.061945e+00
51, -2.143584e+01, -2.181895e-04, 4.794438e+02, 8.468530e-01, -8.834724e-06, 4.494440e+00, -1.043647e+02, -2.181895e-04, 4.684377e+02, 5.353614e-02, -8.834724e-06, 4.573214e+00
52, -2.155265e+01, -2.207752e-04, 4.807316e+02, 7.586272e-01, -8.204583e-06, 4.006453e+00, -1.047034e+02, -2.207752e-04, 4.696856e+02, 5.138867e-02, -8.204583e-06, 4.077320e+00
53, -2.161811e+01, -2.235342e-04, 4.818870e+02, 6.693086e-01, -7.370041e-06, 3.511763e+00, -1.049685e+02, -2.235342e-04, 4.708121e+02, 4.932904e-02, -7.370041e-06, 3.574636e+00
54, -2.163113e+01, -2.267906e-04, 4.829073e+02, 5.781772e-01, -6.171150e-06, 3.007080e+00, -1.051585e+02, -2.267906e-04, 4.718146e+02, 4.721951e-02, -6.171150e-06, 3.061795e+00
55, -2.159312e+01, -2.302800e-04, 4.837921e+02, 4.874774e-01, -5.155579e-06, 2.504075e+00, -1.052747e+02, -2.302800e-04, 4.726926e+02, 4.524341e-02, -5.155579e-06, 2.550683e+00
56, -2.150400e+01, -2.338472e-04, 4.845400e+02, 3.958834e-01, -4.013528e-06, 1.995906e+00, -1.053168e+02, -2.338472e-04, 4.734446e+02, 4.328363e-02, -4.013528e-06, 2.034328e+00
57, -2.136488e+01, -2.374056e-04, 4.851506e+02, 3.036767e-01, -2.329146e-06, 1.484445e+00, -1.052858e+02, -2.374056e-04, 4.740701e+02, 4.129203e-02, -2.329146e-06, 1.514626e+00
58, -2.117725e+01, -2.408851e-04, 4.856236e+02, 2.114941e-01, -6.736251e-07, 9.729734e-01, -1.051832e+02, -2.408851e-04, 4.745685e+02, 3.932598e-02, -6.736251e-07, 9.949173e-01
59, -2.094293e+01, -2.446478e-04, 4.859585e+02, 1.190339e-01, 7.283466e-07, 4.600942e-01, -1.050106e+02, -2.446478e-04, 4.749390e+02, 3.733103e-02, 7.283466e-07, 4.737744e-01
60, -2.066388e+01, -2.483938e-04, 4.861560e+02, 2.677778e-02, 1.995982e-06, -5.151210e-02, -1.047700e+02, -2.483938e-04, 4.751820e+02, 3.531595e-02, 1.995982e-06, -4.607960e-02
61, -2.034249e+01, -2.518064e-04, 4.862157e+02, -6.513876e-02, 3.288415e-06, -5.610571e-01, -1.044639e+02, -2.518064e-04, 4.752966e+02, 3.327738e-02, 3.288415e-06, -5.638446e-01
62, -1.998134e+01, -2.551352e-04, 4.861381e+02, -1.565988e-01, 4.598975e-06, -1.067894e+00, -1.040948e+02, -2.551352e-04, 4.752828e+02, 3.121822e-02, 4.598975e-06, -1.078864e+00
63, -1.958286e+01, -2.584250e-04, 4.859237e+02, -2.471752e-01, 5.657988e-06, -1.569548e+00, -1.036651e+02, -2.584250e-04, 4.751409e+02, 2.912911e-02, 5.657988e-06, -1.588624e+00
64, -1.915039e+01, -2.616773e-04, 4.855735e+02, -3.360995e-01, 6.287281e-06, -2.062185e+00, -1.031784e+02, -2.616773e-04, 4.748711e+02, 2.710122e-02, 6.287281e-06, -2.089219e+00
65, -1.868633e+01, -2.649175e-04, 4.850889e+02, -4.234868e-01, 6.779079e-06, -2.546153e+00, -1.026372e+02, -2.649175e-04, 4.744745e+02, 2.508175e-02, 6.779079e-06, -2.581009e+00
66, -1.819403e+01, -2.679753e-04, 4.844718e+02, -5.084072e-01, 7.332415e-06, -3.016560e+00, -1.020453e+02, -2.679753e-04, 4.739522e+02, 2.313682e-02, 7.332415e-06, -3.059016e+00
67, -1.767629e+01, -2.709800e-04, 4.837247e+02, -5.908021e-01, 7.672286e-06, -3.473106e+00, -1.014057e+02, -2.709800e-04, 4.733064e+02, 2.127209e-02, 7.672286e-06, -3.522934e+00
68, -1.713634e+01, -2.741927e-04, 4.828509e+02, -6.697834e-01, 7.978846e-06, -3.910918e+00, -1.007222e+02, -2.741927e-04, 4.725397e+02, 1.951586e-02, 7.978846e-06, -3.967809e+00
69, -1.657718e+01, -2.774430e-04, 4.818546e+02, -7.451599e-01, 8.040858e-06, -4.329002e+00, -9.999851e+01, -2.774430e-04, 4.716556e+02, 1.788413e-02, 8.040858e-06, -4.392631e+00
70, -1.600191e+01, -2.806669e-04, 4.807404e+02, -8.164344e-01, 8.256175e-06, -4.724569e+00, -9.923850e+01, -2.806669e-04, 4.706582e+02, 1.638185e-02, 8.256175e-06, -4.794565e+00
71, -1.541388e+01, -2.840042e-04, 4.795140e+02, -8.831846e-01, 8.609608e-06, -5.095265e+00, -9.844645e+01, -2.840042e-04, 4.695526e+02, 1.501650e-02, 8.609608e-06, -5.171220e+00
72, -1.481603e+01, -2.873076e-04, 4.781819e+02, -9.452430e-01, 9.022234e-06, -5.440073e+00, -9.762635e+01, -2.873076e-04, 4.683444e+02, 1.377614e-02, 9.022234e-06, -5.521566e+00
73, -1.421184e+01, -2.907442e-04, 4.767505e+02, -1.002312e+00, 9.420374e-06, -5.757264e+00, -9.678278e+01, -2.907442e-04, 4.670397e+02, 1.265382e-02, 9.420374e-06, -5.843848e+00
74, -1.360421e+01, -2.941949e-04, 4.752278e+02, -1.054198e+00, 9.924186e-06, -6.045648e+00, -9.591997e+01, -2.941949e-04, 4.656457e+02, 1.163334e-02, 9.924186e-06, -6.136860e+00
75, -1.299658e+01, -2.971997e-04, 4.736214e+02, -1.100916e+00, 1.080382e-05, -6.305181e+00, -9.504261e+01, -2.971997e-04, 4.641692e+02, 1.069219e-02, 1.080382e-05, -6.400563e+00
76, -1.239197e+01, -3.001897e-04, 4.719393e+02, -1.142350e+00, 1.196280e-05, -6.535098e+00, -9.415510e+01, -3.001897e-04, 4.626176e+02, 9.812600e-03, 1.196280e-05, -6.634182e+00
77, -1.179360e+01, -3.037887e-04, 4.701901e+02, -1.178459e+00, 1.247991e-05, -6.735052e+00, -9.326208e+01, -3.037887e-04, 4.609989e+02, 8.974204e-03, 1.247991e-05, -6.837369e+00
78, -1.120441e+01, -3.070027e-04, 4.683818e+02, -1.209450e+00, 1.217074e-05, -6.906111e+00, -9.236783e+01, -3.070027e-04, 4.593204e+02, 8.158027e-03, 1.217074e-05, -7.011210e+00
79, -1.062736e+01, -3.090827e-04, 4.665229e+02, -1.235063e+00, 1.314150e-05, -7.046746e+00, -9.147676e+01, -3.090827e-04, 4.575900e+02, 7.355075e-03, 1.314150e-05, -7.154156e+00
80, -1.006533e+01, -3.105280e-04, 4.646215e+02, -1.255636e+00, 1.431059e-05, -7.158801e+00, -9.059309e+01, -3.105280e-04, 4.558150e+02, 6.552805e-03, 1.431059e-05, -7.268082e+00
81, -9.520734e+00, -3.121517e-04, 4.626856e+02, -1.270972e+00, 1.463691e-05, -7.241143e+00, -8.972061e+01, -3.121517e-04, 4.540031e+02, 5.747953e-03, 1.463691e-05, -7.351836e+00
82, -8.996364e+00, -3.138604e-04, 4.607232e+02, -1.281139e+00, 1.392165e-05, -7.294176e+00, -8.886343e+01, -3.138604e-04, 4.521616e+02, 4.944620e-03, 1.392165e-05, -7.405828e+00
83, -8.493975e+00, -3.149515e-04, 4.587421e+02, -1.286175e+00, 1.327359e-05, -7.318123e+00, -8.802466e+01, -3.149515e-04, 4.502978e+02, 4.143788e-03, 1.327359e-05, -7.430287e+00
84, -8.016016e+00, -3.152298e-04, 4.567499e+02, -1.285880e+00, 1.328068e-05, -7.311921e+00, -8.720802e+01, -3.152298e-04, 4.484189e+02, 3.357001e-03, 1.328068e-05, -7.424128e+00
85, -7.563876e+00, -3.153920e-04, 4.547544e+02, -1.280359e+00, 1.306343e-05, -7.276210e+00, -8.641623e+01, -3.153920e-04, 4.465322e+02, 2.593120e-03, 1.306343e-05, -7.388000e+00
86, -7.139235e+00, -3.158062e-04, 4.527632e+02, -1.269389e+00, 1.212147e-05, -7.209782e+00, -8.565227e+01, -3.158062e-04, 4.446450e+02, 1.861379e-03, 1.212147e-05, -7.320676e+00
87, -6.743287e+00, -3.161893e-04, 4.507840e+02, -1.252998e+00, 1.074236e-05, -7.112865e+00, -8.491866e+01, -3.161893e-04, 4.427646e+02, 1.173418e-03, 1.074236e-05, -7.222385e+00
88, -6.376909e+00, -3.161278e-04, 4.488249e+02, -1.231030e+00, 9.808632e-06, -6.984606e+00, -8.421766e+01, -3.161278e-04, 4.408989e+02, 5.361806e-04, 9.808632e-06, -7.092261e+00
89, -6.041047e+00, -3.158270e-04, 4.468938e+02, -1.203542e+00, 9.301007e-06, -6.825364e+00, -8.355156e+01, -3.158270e-04, 4.390554e+02, -4.590882e-05, 9.301007e-06, -6.930664e+00
90, -5.736000e+00, -3.156545e-04, 4.449989e+02, -1.170424e+00, 8.536904e-06, -6.634516e+00, -8.292210e+01, -3.156545e-04, 4.372423e+02, -5.707895e-04, 8.536904e-06, -6.736965e+00
91, -5.462384e+00, -3.157840e-04, 4.431485e+02, -1.131825e+00, 7.524013e-06, -6.412914e+00, -8.233132e+01, -3.157840e-04, 4.354675e+02, -1.038730e-03, 7.524013e-06, -6.512027e+00
92, -5.220096e+00, -3.157469e-04, 4.413510e+02, -1.087770e+00, 6.513582e-06, -6.160662e+00, -8.178059e+01, -3.157469e-04, 4.337395e+02, -1.457036e-03, 6.513582e-06, -6.255957e+00
93, -5.009470e+00, -3.154460e-04, 4.396148e+02, -1.038441e+00, 6.144975e-06, -5.878764e+00, -8.127168e+01, -3.154460e-04, 4.320662e+02, -1.828205e-03, 6.144975e-06, -5.969775e+00
94, -4.830245e+00, -3.150370e-04, 4.379483e+02, -9.840945e-01, 5.854434e-06, -5.568619e+00, -8.080579e+01, -3.150370e-04, 4.304562e+02, -2.163470e-03, 5.854434e-06, -5.654905e+00
95, -4.682437e+00, -3.147380e-04, 4.363596e+02, -9.249402e-01, 5.497385e-06, -5.231371e+00, -8.038435e+01, -3.147380e-04, 4.289172e+02, -2.470218e-03, 5.497385e-06, -5.312509e+00
96, -4.565882e+00, -3.143789e-04, 4.348564e+02, -8.613727e-01, 4.893217e-06, -4.869225e+00, -8.000854e+01, -3.143789e-04, 4.274571e+02, -2.754500e-03, 4.893217e-06, -4.944826e+00
97, -4.480284e+00, -3.137377e-04, 4.334464e+02, -7.937285e-01, 4.589682e-06, -4.484035e+00, -7.967940e+01, -3.137377e-04, 4.260834e+02, -3.025563e-03, 4.589682e-06, -4.553742e+00
98, -4.425705e+00, -3.128586e-04, 4.321364e+02, -7.222674e-01, 4.312619e-06, -4.077347e+00, -7.939817e+01, -3.128586e-04, 4.248028e+02, -3.270687e-03, 4.312619e-06, -4.140823e+00
99, -4.395394e+00, -3.117626e-04, 4.309325e+02, -6.491914e-01, 3.801573e-06, -3.661453e+00, -7.915925e+01, -3.117626e-04, 4.236224e+02, -3.524063e-03, 3.801573e-06, -3.718559e+00
100, -4.377266e+00, -3.102571e-04, 4.298389e+02, -5.780270e-01, 3.337446e-06, -3.256676e+00, -7.895151e+01, -3.102571e-04, 4.225486e+02, -3.729665e-03, 3.337446e-06, -3.307573e+00
101, -4.359563e+00, -3.087269e-04, 4.288580e+02, -5.138180e-01, 2.703727e-06, -2.891136e+00, -7.876373e+01, -3.087269e-04, 4.215856e+02, -3.971431e-03, 2.703727e-06, -2.936437e+00
102, -4.332743e+00, -3.073003e-04, 4.279873e+02, -4.603147e-01, 1.521574e-06, -2.585312e+00, -7.858614e+01, -3.073003e-04, 4.207329e+02, -4.386786e-03, 1.521574e-06, -2.625968e+00
103, -4.288845e+00, -3.059809e-04, 4.272167e+02, -4.201511e-01, 1.491851e-07, -2.352797e+00, -7.840909e+01, -3.059809e-04, 4.199816e+02, -5.209211e-03, 1.491851e-07, -2.390011e+00
104, -4.225223e+00, -3.045747e-04, 4.265277e+02, -3.928178e-01, -9.716904e-07, -2.190010e+00, -7.822679e+01, -3.045747e-04, 4.193141e+02, -6.558834e-03, -9.716904e-07, -2.224951e+00
105, -4.142953e+00, -3.034157e-04, 4.259002e+02, -3.763332e-01, -1.620679e-06, -2.085475e+00, -7.803680e+01, -3.034157e-04, 4.187104e+02, -8.476960e-03, -1.620679e-06, -2.119141e+00
106, -4.044029e+00, -3.026070e-04, 4.253163e+02, -3.674847e-01, -2.191631e-06, -2.021979e+00, -7.783799e+01, -3.026070e-04, 4.181526e+02, -1.078871e-02, -2.191631e-06, -2.055074e+00
107, -3.932035e+00, -3.022733e-04, 4.247604e+02, -3.628462e-01, -2.572613e-06, -1.981856e+00, -7.763116e+01, -3.022733e-04, 4.176245e+02, -1.318799e-02, -2.572613e-06, -2.014755e+00
108, -3.809449e+00, -3.020841e-04, 4.242195e+02, -3.613801e-01, -2.695049e-06, -1.960043e+00, -7.741651e+01, -3.020841e-04, 4.171131e+02, -1.553199e-02, -2.695049e-06, -1.993019e+00
109, -3.679071e+00, -3.020363e-04, 4.236858e+02, -3.611678e-01, -2.245285e-06, -1.946680e+00, -7.719545e+01, -3.020363e-04, 4.166102e+02, -1.764349e-02, -2.245285e-06, -1.979821e+00
110, -3.541602e+00, -3.022503e-04, 4.231563e+02, -3.616826e-01, -1.817557e-06, -1.938886e+00, -7.696812e+01, -3.022503e-04, 4.161126e+02, -1.950371e-02, -1.817557e-06, -1.972236e+00
111, -3.397796e+00, -3.024689e-04, 4.226305e+02, -3.619829e-01, -1.296493e-06, -1.931415e+00, -7.673519e+01, -3.024689e-04, 4.156198e+02, -2.109695e-02, -1.296493e-06, -1.964930e+00
112, -3.248522e+00, -3.025437e-04, 4.221087e+02, -3.618818e-01, -3.350616e-07, -1.923045e+00, -7.649758e+01, -3.025437e-04, 4.151318e+02, -2.245076e-02, -3.350616e-07, -1.956670e+00
113, -3.095432e+00, -3.024838e-04, 4.215919e+02, -3.612776e-01, 6.901506e-07, -1.912895e+00, -7.625707e+01, -3.024838e-04, 4.146495e+02, -2.361820e-02, 6.901506e-07, -1.946569e+00
114, -2.940796e+00, -3.023673e-04, 4.210816e+02, -3.597827e-01, 1.716440e-06, -1.898754e+00, -7.601616e+01, -3.023673e-04, 4.141737e+02, -2.460171e-02, 1.716440e-06, -1.932383e+00
115, -2.785557e+00, -3.019586e-04, 4.205791e+02, -3.579598e-01, 2.470769e-06, -1.883423e+00, -7.577604e+01, -3.019586e-04, 4.137059e+02, -2.546860e-02, 2.470769e-06, -1.916969e+00
116, -2.631444e+00, -3.012636e-04, 4.200858e+02, -3.555066e-01, 3.362136e-06, -1.865203e+00, -7.553860e+01, -3.012636e-04, 4.132468e+02, -2.621653e-02, 3.362136e-06, -1.898600e+00
117, -2.479617e+00, -3.001548e-04, 4.196022e+02, -3.527461e-01, 3.896442e-06, -1.845777e+00, -7.530509e+01, -3.001548e-04, 4.127969e+02, -2.687141e-02, 3.896442e-06, -1.878989e+00
118, -2.332098e+00, -2.987592e-04, 4.191277e+02, -3.496700e-01, 4.360440e-06, -1.825020e+00, -7.507743e+01, -2.987592e-04, 4.123553e+02, -2.744644e-02, 4.360440e-06, -1.858013e+00
119, -2.189568e+00, -2.972579e-04, 4.186620e+02, -3.466429e-01, 4.348092e-06, -1.804985e+00, -7.485619e+01, -2.972579e-04, 4.119214e+02, -2.794436e-02, 4.348092e-06, -1.837757e+00
120, -2.052645e+00, -2.956536e-04, 4.182040e+02, -3.434579e-01, 3.876391e-06, -1.784582e+00, -7.464182e+01, -2.956536e-04, 4.114941e+02, -2.835070e-02, 3.876391e-06, -1.817111e+00
121, -1.921349e+00, -2.938086e-04, 4.177525e+02, -3.402632e-01, 3.244676e-06, -1.764733e+00, -7.443412e+01, -2.938086e-04, 4.110723e+02, -2.865117e-02, 3.244676e-06, -1.797009e+00
122, -1.795675e+00, -2.919844e-04, 4.173060e+02, -3.368684e-01, 2.546341e-06, -1.744424e+00, -7.423283e+01, -2.919844e-04, 4.106544e+02, -2.883449e-02, 2.546341e-06, -1.776419e+00
123, -1.675535e+00, -2.901974e-04, 4.168633e+02, -3.332456e-01, 1.639791e-06, -1.723541e+00, -7.403762e+01, -2.901974e-04, 4.102392e+02, -2.889305e-02, 1.639791e-06, -1.755224e+00
124, -1.559963e+00, -2.886822e-04, 4.164235e+02, -3.291528e-01, 7.053961e-07, -1.700766e+00, -7.384744e+01, -2.886822e-04, 4.098262e+02, -2.881727e-02, 7.053961e-07, -1.732085e+00
