#tstep, fx_steady_G, fy_steady_G, fz_steady_G, fx_unsteady_G, fy_unsteady_G, fz_unsteady_G, fx_steady_a, fy_steady_a, fz_steady_a, fx_unsteady_a, fy_unsteady_a, fz_unsteady_a
0, 4.857578e+00, -2.245954e-04, 3.913163e+02, 0.000000e+00, 0.000000e+00, 0.000000e+00, -6.316758e+01, -2.245954e-04, 3.862148e+02, 0.000000e+00, 0.000000e+00, 0.000000e+00
1, 4.770879e+00, -2.244548e-04, 3.913214e+02, 3.320588e-02, 5.577421e-07, 1.847330e-01, -6.325385e+01, -2.244548e-04, 3.862048e+02, 6.228641e-04, 5.577421e-07, 1.876926e-01
2, 4.675863e+00, -2.242420e-04, 3.913380e+02, 5.559997e-02, 5.019421e-07, 3.066375e-01, -6.335030e+01, -2.242420e-04, 3.862047e+02, 1.508250e-03, 5.019421e-07, 3.116338e-01
3, 4.533710e+00, -2.239502e-04, 3.913811e+02, 1.046065e-01, 1.055119e-06, 5.737424e-01, -6.349777e+01, -2.239502e-04, 3.862224e+02, 3.387940e-03, 1.055119e-06, 5.831907e-01
4, 4.345452e+00, -2.234346e-04, 3.914705e+02, 1.662907e-01, 1.070973e-06, 9.071675e-01, -6.369870e+01, -2.234346e-04, 3.862778e+02, 6.236391e-03, 1.070973e-06, 9.222617e-01
5, 4.113093e+00, -2.227368e-04, 3.916301e+02, 2.409101e-01, 8.807835e-07, 1.309307e+00, -6.395525e+01, -2.227368e-04, 3.863946e+02, 9.891295e-03, 8.807835e-07, 1.331250e+00
6, 3.840082e+00, -2.216937e-04, 3.918797e+02, 3.224637e-01, 5.208317e-07, 1.747791e+00, -6.426745e+01, -2.216937e-04, 3.865930e+02, 1.406413e-02, 5.208317e-07, 1.777233e+00
7, 3.529407e+00, -2.203201e-04, 3.922384e+02, 4.097286e-01, 5.753083e-08, 2.217453e+00, -6.463570e+01, -2.203201e-04, 3.868923e+02, 1.844719e-02, 5.753083e-08, 2.254914e+00
8, 3.184884e+00, -2.189625e-04, 3.927184e+02, 4.989448e-01, -8.720540e-07, 2.698357e+00, -6.505833e+01, -2.189625e-04, 3.873051e+02, 2.279996e-02, -8.720540e-07, 2.744004e+00
9, 2.807651e+00, -2.175260e-04, 3.933274e+02, 5.901758e-01, -1.759037e-06, 3.191506e+00, -6.553559e+01, -2.175260e-04, 3.878394e+02, 2.701059e-02, -1.759037e-06, 3.245503e+00
10, 2.399717e+00, -2.159834e-04, 3.940693e+02, 6.815658e-01, -2.742626e-06, 3.686513e+00, -6.606616e+01, -2.159834e-04, 3.884992e+02, 3.105513e-02, -2.742626e-06, 3.748859e+00
